player,college,position,grade,height,arm_length,weight,hand_length,yard_time,bench_press,vertical_jump,broad_jump,cone_drill,yard_shuttle
"Sims, Charles",West Virginia,RB,5.36,72,31,214,8.25,4.48,17,37.5,126,7.16,4.3
"Skov, Shayne",Stanford,LB,5.5,74,30.625,245,10,,,,,,
"Smallwood, Yawin",Connecticut,LB,5.35,74,31.75,246,9.5,5.01,18,36.5,108,,
"Smith, Chris",Arkansas,DL,5.31,73,34.125,266,9.5,4.71,28,37,121,7.55,
"Smith, Jerome",Syracuse,RB,5.05,71,30.875,220,9.75,4.84,14,36,118,7.53,4.6
"Smith, Marcus",Louisville,DL,5.39,75,34,251,10,4.68,23,35,121,7.48,
"Smith, Telvin",Florida St.,LB,5.32,75,32.5,218,10.25,4.52,,31.5,119,,
"Snead, Willie",Ball St.,WO,5.16,71,33,195,10.25,4.62,11,33.5,113,7.19,4.39
"Sorensen, Daniel",BYU,S,5.05,73,31,205,8.5,4.67,13,32,114,6.47,3.95
"Southward, Dezmen",Wisconsin,S,5.22,72,30.625,211,10,,,,,,
"Starr, Tyler",South Dakota,LB,4.9,76,32.5,250,9.5,4.95,24,32,116,6.64,4.15
"Steen, Anthony",Alabama,OL,5.31,75,30.5,314,9.125,,,,,,
"Stephen, Shamar",Connecticut,DL,5.42,77,33.125,309,10,5.25,25,30.5,103,,
"Stewart, Josh",Oklahoma St.,WO,5.14,70,30,178,9.375,4.69,11,35,117,7.1,4.33
"Stinson, Ed",Alabama,DL,5.75,75,33.75,287,9.375,,,,,,
"Stone, James",Tennessee,OL,5.1,76,33.875,306,10.125,5.17,22,27.5,105,8.16,4.63
"Stork, Bryan",Florida St.,OL,5.15,76,32.25,315,10.125,,,,,,
"Street, Devin",Pittsburgh,WO,5.23,75,33.375,198,9.25,4.55,,37,124,6.89,4.01
"Su'a-Filo, Xavier",UCLA,OL,5.65,76,33.375,307,9.375,5.04,25,25,102,7.6,4.44
"Sunseri, Vinnie",Alabama,S,5.14,71,30,210,10,,18,,,,
"Sutton, Will",Arizona State,DL,5.55,72,31.25,303,10,5.36,24,28.5,99,7.93,
"Swanson, Travis",Arkansas,OL,5.5,77,33.125,312,10,5.28,20,26,95,7.73,4.65
"Taliaferro, Lorenzo",Coastal Carolina,RB,5.05,72,32,229,8.375,4.58,18,33,118,6.88,4.22
"Thomas, Brandon",Clemson,OL,5.45,75,34.75,317,10.5,5.09,35,29,98,8.13,4.83
"Thomas, De'Anthony",Oregon,RB,5.49,69,29.875,174,8.125,4.5,8,32,124,,
"Thomas, Jemea",Georgia Tech,DB,5.14,69,30.625,192,10,4.55,19,37,125,,
"Thomas, Logan",Virginia Tech,QB,5.42,78,34.25,248,10.875,4.61,,35.5,118,7.05,4.18
"Thomas, Robert",Arkansas,DL,4.5,73,33.875,327,10,,32,,,,
"Thornton, Khyri",Southern Miss,DL,5,75,32.5,304,9.5,5.03,28,29,112,7.83,
"Tialavea, D.J.",Utah St.,TE,4.75,75,33.625,267,9.25,,,,,,
"Tripp, Jordan",Montana,LB,5.1,75,30.75,234,9.625,4.67,22,37.5,120,6.89,3.96
"Tuitt, Stephon",Notre Dame,DL,6.25,77,34.75,304,10,,31,,,,
"Turner, Billy",North Dakota St.,OL,5.24,77,34,315,10,5.16,25,28,108,7.92,4.71
"Turner, Trai",LSU,OL,5.15,75,34,310,9.5,4.93,25,27.5,,,
"Uko, George",USC,DL,5.05,75,33.25,284,10.125,4.99,18,29.5,110,,
"Unga, Devin",BYU,LB,5.2,73,31.375,231,10,,,,,,
"Urban, Brent",Virginia,DL,5.32,79,34.25,295,9.75,,,,,,
"Urschel, John",Penn St.,OL,5.55,75,33,313,10.375,5.31,30,29,102,7.55,4.47
"Van Noy, Kyle",BYU,LB,5.55,75,31.625,243,9.625,4.71,21,32.5,112,7.22,4.2
"Vaughan, Dustin",West Texas A&M,QB,4.85,77,33,235,8.875,4.95,,29,108,7.25,4.43
"Vereen, Brock",Minnesota,S,5.37,72,30,199,8.25,4.47,25,34,117,6.9,4.07
"Verrett, Jason",TCU,DB,5.75,69,30.625,189,9.25,4.38,,39,128,6.69,4
"Ward, Jimmie",Northern Illinois,S,5.12,71,31,193,9.375,,9,,,,
"Washington, L'Damian",Missouri,WO,5.2,76,33.375,195,9,4.46,8,32,115,7.19,4.35
"Washington, Todd",Southeastern Louisiana,DB,5.15,71,31.125,196,8.75,,13,,,,
"Watkins, Jaylen",Florida,DB,5.29,71,30.625,194,9.625,4.41,22,,,,
"Watkins, Sammy",Clemson,WO,7,71,32,211,9.625,4.43,16,34,126,6.95,4.34
"Watt, Chris",Notre Dame,OL,5.4,75,32.75,310,9.5,,29,,,,
"Webster, Larry",Bloomsburg,DL,5.22,78,33.5,252,10.125,4.58,17,36.5,123,7.29,
"Wenning, Keith",Ball St.,QB,5,75,31.25,218,10,5,,28,100,7.07,4.25
"West, Terrance",Towson,RB,5.4,69,31,225,9.125,4.54,16,33.5,120,,
"Westbrooks, Ethan",West Texas A&M,DL,5.23,75,33.25,267,9.625,4.9,19,29,110,7.3,
"Westbrooks, Lavelle",Georgia Southern,DB,5.27,71,32.375,186,9.75,4.63,15,36,121,6.98,4.27
"Whaley, Chris",Texas,DL,5.05,75,32.125,269,9.125,,,,,,
"White, James",Wisconsin,RB,5,69,29.25,204,8.25,4.57,23,32,114,7.05,4.2
"Wilder, James",Florida St.,RB,5.22,75,32,232,9.75,4.86,18,35,121,6.92,4.24
"Williams, Andre",Boston College,RB,5.62,71,33.5,230,9,4.56,,38,129,7.27,4.06
"Williams, Damien",Oklahoma,RB,5.05,71,30.625,222,9.125,4.45,16,35.5,121,7.37,4.25
"Williamson, Avery",Kentucky,LB,4.9,73,32.75,246,9.5,4.66,25,30.5,120,7.11,4.07
"Wilson, Albert",Georgia State,WO,4.75,69,30.375,202,9.125,4.43,10,37.5,123,7,4.21
"Wynn, Kerry",Richmond,DL,4.65,77,31.75,266,9.125,4.97,31,34,113,,
"Yankey, David",Stanford,OL,5.4,78,34,315,9.5,5.48,22,28.5,103,7.81,4.86
"Zumwalt, Jordan",UCLA,LB,5.33,76,31.25,235,8.75,4.76,,33,116,6.99,4.25
